complex,prediction,n,entrez
GNAI1-GNB1-GNG8 complex,PLASMA MEMBRANE,3,14688; 14677; 14709
GNAI1-GNB2-GNG10 complex,PLASMA MEMBRANE,3,14700; 14693; 14677
GNAI1-GNB2-GNG11 complex,PLASMA MEMBRANE,3,66066; 14693; 14677
GNAI1-GNB2-GNG12 complex,PLASMA MEMBRANE,3,14693; 14677; 14701
GNAI1-GNB2-GNG13 complex,PLASMA MEMBRANE,3,14693; 14677; 64337
GNAI1-GNB2-GNG2 complex,PLASMA MEMBRANE,3,14702; 14693; 14677
GNAI1-GNB2-GNG3 complex,PLASMA MEMBRANE,3,14693; 14677; 14704
GNAI1-GNB2-GNG4 complex,PLASMA MEMBRANE,3,14706; 14693; 14677
GNAI1-GNB2-GNG5 complex,PLASMA MEMBRANE,3,14693; 14677; 14707
GNAI1-GNB2-GNG7 complex,PLASMA MEMBRANE,3,14708; 14693; 14677
GNAI1-GNB2-GNG8 complex,PLASMA MEMBRANE,3,14693; 14677; 14709
GNAI1-GNB2-GNGT1 complex,PLASMA MEMBRANE,3,14693; 14677; 14699
GNAI1-GNB3-GNG10 complex,PLASMA MEMBRANE,3,14695; 14700; 14677
GNAI1-GNB3-GNG11 complex,PLASMA MEMBRANE,3,14695; 66066; 14677
GNAI1-GNB3-GNG12 complex,PLASMA MEMBRANE,3,14695; 14677; 14701
GNAI1-GNB3-GNG13 complex,PLASMA MEMBRANE,3,14695; 14677; 64337
GNAI1-GNB3-GNG2 complex,PLASMA MEMBRANE,3,14695; 14702; 14677
GNAI1-GNB3-GNG3 complex,PLASMA MEMBRANE,3,14695; 14677; 14704
GNAI1-GNB3-GNG4 complex,PLASMA MEMBRANE,3,14695; 14706; 14677
GNAI1-GNB3-GNG5 complex,PLASMA MEMBRANE,3,14695; 14677; 14707
GNAI1-GNB3-GNG7 complex,PLASMA MEMBRANE,3,14708; 14695; 14677
GNAI1-GNB3-GNG8 complex,PLASMA MEMBRANE,3,14695; 14677; 14709
GNAI1-GNB3-GNGT1 complex,PLASMA MEMBRANE,3,14695; 14677; 14699
GNAI1-GNB4-GNG10 complex,PLASMA MEMBRANE,3,14700; 14677; 14696
GNAI1-GNB4-GNG11 complex,PLASMA MEMBRANE,3,66066; 14677; 14696
GNAI1-GNB4-GNG12 complex,PLASMA MEMBRANE,3,14677; 14696; 14701
GNAI1-GNB4-GNG13 complex,PLASMA MEMBRANE,3,14677; 14696; 64337
GNAI1-GNB4-GNG2 complex,PLASMA MEMBRANE,3,14702; 14677; 14696
GNAI1-GNB4-GNG3 complex,PLASMA MEMBRANE,3,14677; 14704; 14696
GNAI1-GNB4-GNG4 complex,PLASMA MEMBRANE,3,14706; 14677; 14696
GNAI1-GNB4-GNG5 complex,PLASMA MEMBRANE,3,14677; 14707; 14696
GNAI1-GNB4-GNG7 complex,PLASMA MEMBRANE,3,14708; 14677; 14696
GNAI1-GNB4-GNG8 complex,PLASMA MEMBRANE,3,14677; 14696; 14709
GNAI1-GNB4-GNGT1 complex,PLASMA MEMBRANE,3,14677; 14699; 14696
GNAI1-GNB5-GNG10 complex,PLASMA MEMBRANE,3,14697; 14700; 14677
GNAI1-GNB5-GNG11 complex,PLASMA MEMBRANE,3,14697; 66066; 14677
GNAI1-GNB5-GNG12 complex,PLASMA MEMBRANE,3,14697; 14677; 14701
GNAI1-GNB5-GNG13 complex,PLASMA MEMBRANE,3,14697; 14677; 64337
GNAI1-GNB5-GNG2 complex,PLASMA MEMBRANE,3,14697; 14702; 14677
GNAI1-GNB5-GNG3 complex,PLASMA MEMBRANE,3,14697; 14677; 14704
GNAI1-GNB5-GNG5 complex,PLASMA MEMBRANE,3,14697; 14677; 14707
GNAI1-GNB5-GNG7 complex,PLASMA MEMBRANE,3,14697; 14708; 14677
GNAI1-GNB5-GNG8 complex,PLASMA MEMBRANE,3,14697; 14677; 14709
GNAI1-GNB5-GNGT1 complex,PLASMA MEMBRANE,3,14697; 14677; 14699
GNAI1-GNGT1-GNB1 complex,PLASMA MEMBRANE,3,14688; 14677; 14699
GNAQ-GEFT-RHOA complex,PLASMA MEMBRANE,3,14682; 11848; 52666
GNAS-GNB1-GNG2 complex,PLASMA MEMBRANE,3,14702; 14688; 14683
GNAS-L-GNB1-GNG1 complex,PLASMA MEMBRANE,4,14688; 14683; 14699; 14697
GNAS-L-GNB1-GNG10 complex,PLASMA MEMBRANE,3,14700; 14688; 14683
GNAS-L-GNB1-GNG11 complex,PLASMA MEMBRANE,3,66066; 14688; 14683
GNAS-L-GNB1-GNG12 complex,PLASMA MEMBRANE,3,14688; 14683; 14701
GNAS-L-GNB1-GNG13 complex,PLASMA MEMBRANE,3,14688; 14683; 64337
GNAS-L-GNB1-GNG3 complex,PLASMA MEMBRANE,4,14688; 14683; 14704; 14695
GNAS-L-GNB1-GNG4 complex,PLASMA MEMBRANE,3,14706; 14688; 14683
GNAS-L-GNB1-GNG5 complex,PLASMA MEMBRANE,3,14688; 14683; 14707
GNAS-L-GNB1-GNG7 complex,PLASMA MEMBRANE,3,14708; 14688; 14683
GNAS-L-GNB1-GNG8 complex,PLASMA MEMBRANE,3,14688; 14683; 14709
GNAS-L-GNB2-GNG1 complex,PLASMA MEMBRANE,3,14693; 14683; 14699
GNAS-L-GNB2-GNG10 complex,PLASMA MEMBRANE,3,14700; 14693; 14683
GNAS-L-GNB2-GNG11 complex,PLASMA MEMBRANE,3,66066; 14693; 14683
GNAS-L-GNB2-GNG12 complex,PLASMA MEMBRANE,3,14693; 14683; 14701
GNAS-L-GNB2-GNG13 complex,PLASMA MEMBRANE,3,14693; 14683; 64337
GNAS-L-GNB2-GNG2 complex,PLASMA MEMBRANE,3,14702; 14693; 14683
GNAS-L-GNB2-GNG3 complex,PLASMA MEMBRANE,3,14693; 14683; 14704
GNAS-L-GNB2-GNG4 complex,PLASMA MEMBRANE,3,14706; 14693; 14683
GNAS-L-GNB2-GNG5 complex,PLASMA MEMBRANE,3,14693; 14683; 14707
GNAS-L-GNB2-GNG7 complex,PLASMA MEMBRANE,3,14708; 14693; 14683
GNAS-L-GNB2-GNG8 complex,PLASMA MEMBRANE,3,14693; 14683; 14709
GNAS-L-GNB3-GNG1 complex,PLASMA MEMBRANE,3,14695; 14683; 14699
GNAS-L-GNB3-GNG10 complex,PLASMA MEMBRANE,3,14695; 14700; 14683
GNAS-L-GNB3-GNG11 complex,PLASMA MEMBRANE,3,14695; 66066; 14683
GNAS-L-GNB3-GNG12 complex,PLASMA MEMBRANE,3,14695; 14683; 14701
GNAS-L-GNB3-GNG13 complex,PLASMA MEMBRANE,3,14695; 14683; 64337
GNAS-L-GNB3-GNG2 complex,PLASMA MEMBRANE,3,14695; 14702; 14683
GNAS-L-GNB3-GNG4 complex,PLASMA MEMBRANE,3,14695; 14706; 14683
GNAS-L-GNB3-GNG5 complex,PLASMA MEMBRANE,3,14695; 14683; 14707
GNAS-L-GNB3-GNG7 complex,PLASMA MEMBRANE,3,14708; 14695; 14683
GNAS-L-GNB3-GNG8 complex,PLASMA MEMBRANE,3,14695; 14683; 14709
GNAS-L-GNB4-GNG1 complex,PLASMA MEMBRANE,3,14683; 14699; 14696
GNAS-L-GNB4-GNG10 complex,PLASMA MEMBRANE,3,14700; 14683; 14696
GNAS-L-GNB4-GNG11 complex,PLASMA MEMBRANE,3,66066; 14683; 14696
GNAS-L-GNB4-GNG12 complex,PLASMA MEMBRANE,3,14683; 14696; 14701
GNAS-L-GNB4-GNG13 complex,PLASMA MEMBRANE,3,14683; 14696; 64337
GNAS-L-GNB4-GNG2 complex,PLASMA MEMBRANE,4,14702; 14683; 14696; 14697
GNAS-L-GNB4-GNG3 complex,PLASMA MEMBRANE,3,14683; 14704; 14696
GNAS-L-GNB4-GNG4 complex,PLASMA MEMBRANE,3,14706; 14683; 14696
GNAS-L-GNB4-GNG5 complex,PLASMA MEMBRANE,3,14683; 14707; 14696
GNAS-L-GNB4-GNG7 complex,PLASMA MEMBRANE,3,14708; 14683; 14696
GNAS-L-GNB4-GNG8 complex,PLASMA MEMBRANE,3,14683; 14696; 14709
GNAS-L-GNB5-GNG10 complex,PLASMA MEMBRANE,3,14697; 14700; 14683
GNAS-L-GNB5-GNG11 complex,PLASMA MEMBRANE,3,14697; 66066; 14683
GNAS-L-GNB5-GNG12 complex,PLASMA MEMBRANE,3,14697; 14683; 14701
GNAS-L-GNB5-GNG13 complex,PLASMA MEMBRANE,3,14697; 14683; 64337
GNAS-L-GNB5-GNG3 complex,PLASMA MEMBRANE,3,14697; 14683; 14704
GNAS-L-GNB5-GNG4 complex,PLASMA MEMBRANE,3,14697; 14706; 14683
GNAS-L-GNB5-GNG5 complex,PLASMA MEMBRANE,3,14697; 14683; 14707
GNAS-L-GNB5-GNG7 complex,PLASMA MEMBRANE,3,14697; 14708; 14683
GNAS-L-GNB5-GNG8 complex,PLASMA MEMBRANE,3,14697; 14683; 14709
Gon4l-Hdac1-Sin3a-Yy1 complex,NUCLEUS,4,433759; 22632; 20466; 76022
gp78-VCP-DERL1 complex,ENDOPLASMIC RETICULUM|UNKNOWN,3,269523; 67819; 23802
GPI-GnT activity complex,SECRETORY,4,18700; 110417; 67292; 14755
GPR56-CD81-Galpha(q/11)-Gbeta complex,PLASMA MEMBRANE,5,14672; 14682; 12520; 14688; 14766
GPS2-LXR-RXR complex,NUCLEUS,3,20186; 56310; 22259
GPX1-SBP1 complex,LARGE PROTEIN COMPLEX,2,14775; 20341
Grancalcin-sorcin complex,CYTOSOL|UNKNOWN,2,227960; 109552
GRASP-GRP1 complex,CYTOSOL,2,19159; 56149
GRASP1-GRIP1 complex,CYTOSOL|ENDOSOME|UNKNOWN,2,54645; 74053
Grasp1-Grip1-Glur2 complex,CYTOSOL|ENDOSOME|UNKNOWN,3,14800; 74053; 54645
"Grb2-Egfr complex, EGF stimulated",LARGE PROTEIN COMPLEX|PLASMA MEMBRANE,2,14784; 13649
"Grb2-Lab-Blnk complex, BCR stimulated",LARGE PROTEIN COMPLEX,3,14784; 56743; 17060
Grb2-mSos1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,14784; 20662
Grb2-Pld2-Was complex,LARGE PROTEIN COMPLEX|PLASMA MEMBRANE,3,22376; 18806; 14784
"GRB2-SHP-2 complex, PDGF stimulated",LARGE PROTEIN COMPLEX,2,14784; 19247
"Grb2-Shp2 complex, FGF stimulated",LARGE PROTEIN COMPLEX,2,19247; 14784
GRB2-SOS1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,14784; 20662
Grb7-Elavl1  complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,15568; 14786
Grb7-Elavl1-Tia1 complex,LARGE PROTEIN COMPLEX,3,21841; 15568; 14786
GRB7-PTK2 complex,LARGE PROTEIN COMPLEX,2,14083; 14786
Grb7-Tia1 complex,LARGE PROTEIN COMPLEX,2,21841; 14786
Gria2-Grip1-Nsg1-Stx12 complex,ENDOSOME,4,100226; 18196; 14800; 74053
Grin2a-Lrp8 complex,ENDOSOME|PLASMA MEMBRANE|SECRETORY,2,14811; 16975
Grin2b-Lrp8 complex,ENDOSOME|PLASMA MEMBRANE|SECRETORY,2,14812; 16975
Grip-Glur2/3-liprin-alpha complex,CYTOSOL|ENDOPLASMIC RETICULUM|ENDOSOME|UNKNOWN,4,14800; 53623; 74053; 68507
"Grk6-Ags3-Galphai2 complex, CXCL8 activated",PLASMA MEMBRANE,3,26385; 14678; 67839
Grp94-Os-9 chaperone-lectin complex,ENDOPLASMIC RETICULUM,2,22027; 216440
GRPEL1-GRPEL2 complex,MITOCHONDRIA,2,17714; 17713
GSK3B-HSP90AA1-PKM2 complex,LARGE PROTEIN COMPLEX,3,15519; 18746; 56637
GSKIP-GSK3B-PRKAR2A complex,LARGE PROTEIN COMPLEX,3,19087; 56637; 66787
GSKIP-PRKAR2B complex,CYTOSOL,2,19088; 66787
GTP-Rho-Rhpn1-Ropn1 complex,UNKNOWN,3,11848; 14787; 76378
"Guanylyl cyclase, soluble (GUCY1A2, GUCY1B3)",CYTOSOL,2,234889; 54195
"Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3)",UNCLASSIFIED,2,60596; 54195
H2AX complex I,LARGE PROTEIN COMPLEX|NUCLEUS,7,18148; 11545; 14828; 15270; 12317; 72831; 382522
Harmonin-CAD23 complex,CYTOSOL,2,22295; 72088
Harmonin-SANS complex,CYTOSOL,2,16470; 72088
HAS1-HAS2 complex,SECRETORY,2,15117; 15116
HAS2-HAS3,SECRETORY,2,15118; 15117
hASC-1 complex,LARGE PROTEIN COMPLEX,4,56404; 77987; 69090; 75452
HAUS augmin-like complex,CYTOSOL|LARGE PROTEIN COMPLEX,8,71909; 231123; 230376; 219072; 225745; 73738; 76478; 66296
HAX-1-XIAP complex,MITOCHONDRIA,2,23897; 11798
HCF-1 complex,NUCLEUS,18,233904; 108155; 20467; 60406; 15519; 20683; 14828; 15481; 15525; 15161; 140858; 19646; 433759; 245688; 15182; 20466; 71954; 23808
HCF1-THAP11 complex,NUCLEUS,2,15161; 59016
HCFC1-THAP11-ZNF143 complex,NUCLEUS,3,15161; 20841; 59016
Hcls1-Liar-Lyn complex,CYTOSOL,3,17096; 15163; 223690
hCRY1-mPer2 complex,NUCLEUS,2,18627; 12952
HDAC1-associated core complex cI,NUCLEUS,3,99982; 433759; 217864
HDAC1-associated core complex cII,NUCLEUS,9,23942; 17192; 19646; 216848; 433759; 245688; 234366; 17191; 217864
HDAC1-associated protein complex,NUCLEUS,9,99982; 23942; 17192; 19646; 216848; 433759; 245688; 17191; 217864
Hdac1-Ino80-Kdm1a-Phb2-Rbp1-Taf5 complex,NUCLEUS,6,433759; 12034; 19659; 68142; 99982; 226182
HDAC2-asscociated core complex,NUCLEUS,7,23942; 17192; 19646; 216848; 245688; 234366; 15182
Hdac2-Hop complex,NUCLEUS,2,15182; 74318
Hdac2-Mecp2-Sin3a-Smarca2 complex,NUCLEUS,4,15182; 67155; 20466; 17257
HDAC3-H1.3-SMRT-N-Cor complex,LARGE PROTEIN COMPLEX,4,15183; 20185; 14957; 20602
HDAC4-ERK1 complex,CYTOSOL,2,26417; 208727
HDAC4-ERK2 complex,CYTOSOL|LARGE PROTEIN COMPLEX,2,26413; 208727
HERP1/HEY2-NCOR-SIN3A complex,NUCLEUS,4,433759; 20466; 15214; 20602
HES1 promoter corepressor complex,NUCLEUS,6,20020; 12572; 19664; 328572; 20926; 12914
HES1 promoter-Notch enhancer complex,NUCLEUS,13,12455; 20020; 18128; 264064; 12572; 107951; 19664; 328572; 19014; 20926; 103806; 19062; 114741
Hes1-Tle1 complex,NUCLEUS|UNKNOWN,2,15205; 21885
HESX1-TLE1 complex,NUCLEUS|UNKNOWN,2,21885; 15209
HEXB homodimer complex,LYSOSOME,1,15212
HGF-Met complex,PLASMA MEMBRANE,2,17295; 15234
HIC1-PCL3L-PCR2 complex,NUCLEUS,5,13626; 15248; 52615; 14056; 74016
HIF1A-OS9-EGLN1 complex,ENDOPLASMIC RETICULUM|UNKNOWN,3,216440; 15251; 112405
HIF1A-OS9-EGLN3 complex,ENDOPLASMIC RETICULUM,3,216440; 15251; 112407
HINT1-SP1 complex,LARGE PROTEIN COMPLEX,2,20683; 15254
HINT1-TIP60 complex,CYTOSOL|LARGE PROTEIN COMPLEX,2,15254; 81601
HINT1-UBC3-RBX1 complex,CYTOSOL,3,216150; 15254; 100043674
Hip1R-cortactin complex,CYTOSOL|ENDOSOME|UNKNOWN,2,29816; 13043
HIVEP3-RUNX2-WWP1 complex,NUCLEUS,3,12393; 16656; 107568
HK1-VDAC1 complex,MITOCHONDRIA,2,15275; 22333
"hMediator complex (MED23, CDK8, CCNC, MED7)",NUCLEUS,4,66213; 51813; 264064; 70208
"hMediator complex (MED23, CDK8, CCNC)",NUCLEUS,3,51813; 264064; 70208
HMG-I(Y)-NF(kappa)B-p50 complex,CYTOSOL|LARGE PROTEIN COMPLEX|NUCLEUS|UNKNOWN,2,18033; 111241
HNF4A-SUB1 complex,LARGE PROTEIN COMPLEX,2,15378; 20024
HNRNPD(p45)-ZFP36L1 complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,12192; 11991
HNRNPD(p45)-ZFP36L2 complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,12193; 11991
HNRNPU-NR3C1 complex,LARGE PROTEIN COMPLEX,2,14815; 51810
hNURF complex,NUCLEUS,4,93761; 19646; 207165; 245688
HOMER3-IP3R-TRPC1 complex,ENDOPLASMIC RETICULUM,3,22063; 16440; 26558
HOOK1-SHP2 complex,CYTOSOL|LARGE PROTEIN COMPLEX,2,19247; 77963
Hook1-Vps16 complex,CYTOSOL|ENDOSOME,2,80743; 77963
Hook1-Vps18 complex,CYTOSOL|ENDOSOME,2,228545; 77963
Hook1-Vps39 complex,CYTOSOL|ENDOSOME,2,269338; 77963
Hook1-Vps41 complex,ENDOSOME,2,218035; 77963
HOOK2-KCL3-LRGUK1-RIMBP3 complex,UNKNOWN,4,232943; 170833; 74354; 239731
HOOK2-PAR3-Par6alpha-PKCiota complex,LARGE PROTEIN COMPLEX|UNKNOWN,4,18759; 93742; 170833; 56513
HOOK2-PCM1-RAB8A complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,17274; 18536; 170833
Hook2-Vps16 complex,ENDOSOME|UNKNOWN,2,170833; 80743
Hook2-Vps41 complex,ENDOSOME|UNKNOWN,2,218035; 170833
Hook3-Vps41 complex,ENDOSOME|LARGE PROTEIN COMPLEX,2,218035; 320191
Hop2-Mnd1 complex,UNCLASSIFIED,2,19183; 76915
HOPS complex,ENDOSOME,6,218035; 77573; 269338; 80743; 71732; 228545
Hoxa9-PBX2-Meis1 complex,NUCLEUS,3,15405; 18515; 17268
HPFH(-198) complex,NUCLEUS,4,14885; 13433; 15135; 98053
hRAD51C-hXRCC3 complex,CYTOSOL,2,57434; 19361
Hras-Rgs14 complex,PLASMA MEMBRANE,2,51791; 15461
HRD1 complex,ENDOPLASMIC RETICULUM,13,244373; 14828; 22027; 12215; 216440; 74126; 76577; 66753; 116891; 97863; 20338; 56228; 11993
hs4 enhancer complex (faster migrating complex),NUCLEUS,5,18987; 18986; 18033; 22632; 19697
hs4 enhancer complex (slow migrating complex),NUCLEUS,2,22632; 19698
HSF1-HSF2 complex,CYTOSOL,2,15499; 15500
hSIR2-p53 complex,NUCLEUS,2,22059; 93759
HSP70-BAG5-PARK2 complex,LARGE PROTEIN COMPLEX,4,50873; 193740; 15525; 70369
HSP90-CDC37-LRRK2 complex,CYTOSOL|LARGE PROTEIN COMPLEX,3,15516; 12539; 66725
HSP90-CIP1-FKBPL complex,CYTOSOL,3,15519; 12575; 56299
Hsp90-p23 complex,CYTOSOL,2,15519; 100043508
Hsp90b1-Cnpy3 complex,ENDOPLASMIC RETICULUM,2,22027; 72029
HSPA9-GRPEL1 complex,MITOCHONDRIA,2,15526; 17713
HSPA9-GRPEL1-GRPEL2 complex,MITOCHONDRIA,3,15526; 17714; 17713
HSPA9-GRPEL1-GRPEL2-TIMM44 complex,MITOCHONDRIA,4,21856; 15526; 17714; 17713
HSPA9-GRPEL2 complex,MITOCHONDRIA,2,15526; 17714
Hspb2-Hspb3 complex,UNCLASSIFIED,2,69253; 56534
HTR1A homodimer complex,UNCLASSIFIED,1,15550
HTR1A-EDG3 complex,SECRETORY,2,15550; 13610
HTR1A-GPR26 complex,UNCLASSIFIED,2,15550; 233919
HTR1A-HTR1B complex,UNCLASSIFIED,2,15550; 15551
HTR1A-HTR1D complex,UNCLASSIFIED,2,15550; 15552
HTR1A-S1PR1 complex,SECRETORY,2,15550; 13609
HTR1B homodimer complex,UNCLASSIFIED,1,15551
HTR1D  homodimer complex,UNCLASSIFIED,1,15552
HTR1D-HTR1B complex,UNCLASSIFIED,2,15552; 15551
HTR1D-S1PR1 complex,SECRETORY,2,13609; 15552
hTREX84 complex,LARGE PROTEIN COMPLEX,6,107829; 66231; 386612; 331401; 225160; 73666
HTT-DISC1-PDE4B complex,CYTOSOL|UNKNOWN,3,15194; 18578; 244667
Htt-Hap1-Dctn1 complex,CYTOSOL|UNKNOWN,3,13191; 15114; 15194
HuCHRAC complex,NUCLEUS,4,93762; 59001; 93696; 217578
HUIC complex,NUCLEUS,2,12189; 12021
HuR-Tia1-Tiar-Hrnpu complex,LARGE PROTEIN COMPLEX,4,15568; 21843; 21841; 51810
HUSH complex,NUCLEUS,3,223828; 75339; 218850
I-kappa-B kinase complex,CYTOSOL|UNKNOWN,3,16150; 12675; 16151
Idas-Geminin-Cdt1 complex,LARGE PROTEIN COMPLEX,3,622408; 57441; 67177
IFNAR1-IFNAR2-IFNB1 complex,SECRETORY,3,15977; 15975; 15976
IFP35-NMI complex,CYTOSOL|LARGE PROTEIN COMPLEX,2,70110; 64685
IGBP1-MID1-PPP2CA complex,LARGE PROTEIN COMPLEX,3,17318; 19052; 18518
IGF1-IGFBP3-ALS complex,UNCLASSIFIED,3,16000; 16009; 16005
IGF1R-CXCR4-GNAI2-GNB1 complex,PLASMA MEMBRANE,4,14678; 16001; 12767; 14688
IGF2BP1 complex,LARGE PROTEIN COMPLEX,9,56403; 20853; 19941; 20104; 22608; 51810; 13211; 15568; 140486
IGF2R-PLAUR complex,ENDOSOME|SECRETORY|UNKNOWN,2,16004; 18793
IGF2R-PLAUR-PLAU complex,SECRETORY,3,18792; 16004; 18793
IGF2R-PLAUR-PLG complex,ENDOSOME|SECRETORY|UNKNOWN,3,18815; 16004; 18793
IGF2R-PLG-PLAU-PLAUR-LTGFbeta1 complex,SECRETORY|UNKNOWN,5,18815; 18792; 21803; 16004; 18793
Ikaros complex,NUCLEUS,12,22780; 433759; 15182; 22779; 20588; 22778; 20586; 19646; 83797; 66993; 107932; 83796
Ikaros-NuRD complex,NUCLEUS,6,22780; 433759; 15182; 22779; 22778; 107932
IKB(alpha)-RELA-cREL complex,CYTOSOL,3,18035; 19697; 19696
IKB(beta)-RELA-cREL complex,CYTOSOL,3,19697; 19696; 18036
IKB(epsilon)-RELA-cREL complex,CYTOSOL|UNKNOWN,3,18037; 19697; 19696
IKBA-p50-p65 Nf(kappa)B complex,CYTOSOL,3,18033; 18035; 19697
IKBKB-CDC37-KIAA1967-HSP90AB1-HSP90AA1 complex,LARGE PROTEIN COMPLEX,5,16150; 15519; 15516; 12539; 219158
IKBKG homotrimer complex,CYTOSOL|UNKNOWN,1,16151
IKBKG-CHUK complex,CYTOSOL|UNKNOWN,2,12675; 16151
IKBKG-IKBKB  complex,CYTOSOL|UNKNOWN,2,16150; 16151
"IKK complex (Nemo, Ikkb)",CYTOSOL|UNKNOWN,2,16151; 16150
IKK-alpha--ER-alpha-AIB1 complex,UNKNOWN,3,12675; 13982; 17979
IL-15-lactadherin complex,PLASMA MEMBRANE|UNKNOWN,2,16168; 17304
IL10 receptor,PLASMA MEMBRANE,2,16155; 16154
IL10-IL10RA complex,UNCLASSIFIED,2,16153; 16154
IL12A-IL12B complex,UNCLASSIFIED,2,16159; 16160
IL12B homodimer complex,UNCLASSIFIED,1,16160
IL13RA1-TRAF3IP1 complex,CYTOSOL|NUCLEUS|SECRETORY,2,16164; 74019
IL1RAP-IL1RL1-KIT complex,PLASMA MEMBRANE,3,16590; 17082; 16180
Il1rap-Il1rl1-Kit-Myd88 complex,PLASMA MEMBRANE,4,16590; 17082; 17874; 16180
IL1RAP-KIT complex,PLASMA MEMBRANE,2,16590; 16180
"Il3rb1-Shc-Ship complex, IL-3 stimulated",ACTIN BINDING PROTEINS|CYTOSOL|UNKNOWN,3,12983; 20416; 16331
IL6ST-PRKCD-STAT3 complex,UNKNOWN,3,16195; 20848; 18753
ILF3-XPO5 complex,LARGE PROTEIN COMPLEX,2,16201; 72322
ILK-HSP90-CDC37 complex,LARGE PROTEIN COMPLEX,3,15519; 16202; 12539
ILK-LIMS1-PARVA complex,LARGE PROTEIN COMPLEX,3,110829; 16202; 57342
ILK-LIMS2-PARVA complex,LARGE PROTEIN COMPLEX,3,16202; 225341; 57342
ILK-PARVB-ARHGEF6 complex,CYTOSOL|LARGE PROTEIN COMPLEX,3,16202; 73341; 170736
Immunoproteasome,LARGE PROTEIN COMPLEX,14,19170; 19171; 19167; 16913; 16912; 19166; 19172; 26443; 26441; 26446; 26445; 26440; 26444; 26442
IMP3-IMP4-MPP10 complex,NUCLEUS,3,67973; 27993; 102462
ING1-p300-PCNA complex,NUCLEUS,3,18538; 328572; 26356
ING2 complex,NUCLEUS,13,94246; 60406; 238247; 19646; 433759; 245688; 52592; 15182; 20466; 269003; 69260; 71954; 107392
"ING4 complex (ING4, JADE1, KAT7, MEAF6)",NUCLEUS,4,217127; 269424; 70088; 28019
"ING4 complex (ING4, JADE2, KAT7, MEAF6)",NUCLEUS,4,217127; 70088; 76901; 28019
"ING4 complex (ING4, JADE3, KAT7, MEAF6)",NUCLEUS,4,217127; 382207; 70088; 28019
"ING5 complex (ING5, JADE1, KAT7, MEAF6)",NUCLEUS,4,217127; 269424; 66262; 70088
"ING5 complex (ING5, JADE2, KAT7, MEAF6)",NUCLEUS,4,217127; 66262; 70088; 76901
"ING5 complex (ING5, JADE3, KAT7, MEAF6)",NUCLEUS,4,217127; 66262; 382207; 70088
INO80 chromatin remodeling complex,NUCLEUS,13,56456; 21423; 227195; 235134; 225280; 233875; 51812; 70020; 56249; 109275; 68142; 20174; 56505
iNOS-S100A8/A9 complex,UNCLASSIFIED,3,20201; 20202; 18126
INPP5E-PDE6D-RPGR complex,CYTOSOL,3,18582; 19893; 64436
INSC-LGN-PAR3 complex,ACTIN BINDING PROTEINS|LARGE PROTEIN COMPLEX,3,76123; 233752; 93742
INSIG1-PAQR3 complex,UNCLASSIFIED,2,231070; 231474
INSIG1-SCAP complex,ENDOPLASMIC RETICULUM,2,231070; 235623
InsP3R1-HAP1A-Htt complex,ENDOPLASMIC RETICULUM,3,16438; 15194; 15114
"Insr-Arrb2-Akt-Src complex, insulin induced",PLASMA MEMBRANE,4,20779; 16337; 11651; 216869
Insr-Irs1-Iqgap1 complex,PLASMA MEMBRANE,3,16337; 16367; 29875
Integrator complex,NUCLEUS,12,71957; 229543; 109077; 72656; 68510; 71793; 101861; 70422; 210925; 77065; 70885; 18130
Integrator-RNAPII complex,NUCLEUS,14,20020; 231329; 71957; 229543; 109077; 72656; 68510; 71793; 101861; 70422; 210925; 77065; 70885; 18130
Interferon-stimulated gene factor 3 transcription complex ISGF3,CYTOSOL|UNKNOWN,3,20846; 20847; 16391
Intraflagellar transport complex A,LARGE PROTEIN COMPLEX,5,73668; 213081; 106633; 81896; 74682
Intraflagellar transport complex B,CYTOSOL,16,264134; 21821; 55978; 72421; 76779; 74019; 12589; 67694; 67042; 67286; 76568; 73916; 68259; 67661; 245866; 72938
Intraflagellar transport complex B core complex,CYTOSOL,10,264134; 21821; 72421; 12589; 67694; 67042; 67286; 76568; 245866; 72938
Intraflagellar transport complex B peripheral subcomplex,CYTOSOL,6,55978; 76779; 74019; 73916; 68259; 67661
Iqgap1-Actb-Vim complex,ACTIN BINDING PROTEINS|CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,29875; 22352; 11461
Iqgap1-Cdc42-Ctnnb1-Cdh2 complex,PLASMA MEMBRANE,4,29875; 12540; 12387; 12558
IQGAP1-CXCR2 complex,ACTIN BINDING PROTEINS|CYTOSOL|PLASMA MEMBRANE|UNKNOWN,2,12765; 29875
Irf1-Irf8 complex,UNCLASSIFIED,2,16362; 15900
IRF2BP2-IRF2BP1-IRF2BPL complex,LARGE PROTEIN COMPLEX,3,270110; 272359; 238330
IRF3-CBP complex,CYTOSOL|UNKNOWN,2,54131; 12705
Irf4-Spi1 complex,UNCLASSIFIED,2,20375; 16364
